year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,latitude,longitude,students_chronically_absent,read_test_num_valid,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_midpt,grad_rate_midpt,school_id,seasch
mixed - most recent,1.10009E+11,Lee Montessori PCS - Brookland,DC,Lee Montessori PCS,Primary,Regular school,Yes,38.927936,-76.999011,5,31,24.5,30,30,,1100476,177-228
mixed - most recent,1.10009E+11,Lee Montessori PCS - East End,DC,Lee Montessori PCS,Primary,Regular school,Yes,38.869276,-76.972557,,,,,,,1100525,177-1141
mixed - most recent,1.10003E+11,Ludlow-Taylor ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.898512,-76.99664,53,143,57,143,47,,1100037,001-271
mixed - most recent,1.10003E+11,Luke C. Moore HS,DC,District of Columbia Public Schools,High,Other/alternative school,No,38.931745,-76.99229,319,8,24.5,19,10,12,1100198,001-884
mixed - most recent,1.10003E+11,MacFarland MS,DC,District of Columbia Public Schools,Middle,Regular school,No,38.943602,-77.027842,,345,24,347,12,,1100511,001-420
mixed - most recent,1.10003E+11,Malcolm X ES at Green,DC,District of Columbia Public Schools,Primary,Regular school,No,38.84157,-76.983554,73,86,12,86,17,,1100036,001-308
mixed - most recent,1.10003E+11,Mann ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.934166,-77.087821,30,159,82,158,72,,1100035,001-273
mixed - most recent,1.10003E+11,Marie Reed ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.919122,-77.040541,85,149,52,149,42,,1100032,001-284
mixed - most recent,1.10004E+11,Mary McLeod Bethune Day Academy PCS,DC,Mary McLeod Bethune Day Academy PCS,Primary,Regular school,Yes,38.929495,-76.986354,48,149,27,149,22,,1100275,132-135
mixed - most recent,1.10003E+11,Maury ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.892437,-76.988693,31,130,77,130,77,,1100034,001-274
mixed - most recent,1.10001E+11,Maya Angelou PCS - HS,DC,Maya Angelou PCS,High,Other/alternative school,Yes,38.89032,-76.920334,148,57,5,48,5,57,1100391,133-101
mixed - most recent,1.10003E+11,McKinley MS,DC,District of Columbia Public Schools,Middle,Regular school,No,38.914918,-77.004311,150,215,26,214,8,,1100470,001-435
mixed - most recent,1.10003E+11,McKinley Technology HS,DC,District of Columbia Public Schools,High,Regular school,No,38.914918,-77.004311,305,171,67,185,32,97,1100267,001-458
mixed - most recent,1.10002E+11,Meridian PCS,DC,Meridian PCS,Primary,Regular school,Yes,38.918554,-77.030066,81,300,20,300,19,,1100229,135-165
mixed - most recent,1.10003E+11,Miner ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.89737,-76.982707,94,114,17,114,17,,1100004,001-280
mixed - most recent,1.1001E+11,Monument Academy PCS,DC,Monument Academy PCS,Middle,Regular school,Yes,38.89656,-76.977791,4,100,7.5,101,2.5,,1100500,184-260
mixed - most recent,1.10003E+11,Moten ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.856618,-76.982742,217,132,12,132,12,,1100002,001-285
mixed - most recent,1.10009E+11,Mundo Verde Bilingual PCS - Calle Ocho,DC,Mundo Verde Bilingual PCS,Primary,Regular school,Yes,38.943,-76.994542,,,,,,,1100527,171-1088
mixed - most recent,1.10009E+11,Mundo Verde Bilingual PCS - J.F. Cook,DC,Mundo Verde Bilingual PCS,Primary,Regular school,Yes,38.909371,-77.010471,74,220,42,220,48,,1100444,171-3065
mixed - most recent,1.10003E+11,Murch ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.952715,-77.070503,10,262,74,262,73,,1100001,001-287
mixed - most recent,1.10003E+11,Nalle ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.885988,-76.930876,50,132,12,132,22,,1100163,001-288
mixed - most recent,1.10008E+11,National Collegiate Preparatory PCHS,DC,National Collegiate Preparatory PCHS,Missing/not reported,Regular school,Yes,38.823755,-77.003023,133,60,24.5,57,5,72,1100424,163-1120
mixed - most recent,1.10003E+11,Noyes ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.925162,-76.991839,63,78,17,77,27,,1100164,001-290
mixed - most recent,1.10003E+11,Oyster-Adams Bilingual School,DC,District of Columbia Public Schools,Primary,Regular school,No,38.923549,-77.057264,42,411,75,410,57,,1100160,001-292
mixed - most recent,1.10003E+11,Patterson ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.826796,-77.008202,206,138,12,138,12,,1100158,001-294
mixed - most recent,1.10004E+11,Paul PCS - International HS,DC,Paul PCS,High,Regular school,Yes,38.961383,-77.025057,20,123,22,129,12,82,1100477,138-222
mixed - most recent,1.10004E+11,Paul PCS - MS,DC,Paul PCS,Middle,Regular school,Yes,38.961383,-77.025057,2,245,32,246,12,,1100257,138-170
mixed - most recent,1.10003E+11,Payne ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.885093,-76.984729,136,119,32,119,32,,1100157,001-295
mixed - most recent,1.10003E+11,Peabody ES (Capitol Hill Cluster),DC,District of Columbia Public Schools,Primary,Regular school,No,38.892854,-76.999863,43,,,,,,1100156,001-301
mixed - most recent,1.10001E+11,Perry Street Preparatory PCS,DC,Perry Street Preparatory PCS,Primary,Regular school,Yes,38.936912,-76.978912,107,148,32,148,12,,1100225,125-161
mixed - most recent,1.10003E+11,Phelps Architecture Construction and Engineering HS,DC,District of Columbia Public Schools,High,Regular school,No,38.901818,-76.971932,188,65,22,64,7.5,95,1100407,001-478
mixed - most recent,1.10003E+11,Plummer ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.887051,-76.93974,150,139,22,139,17,,1100126,001-299
mixed - most recent,1.10003E+11,Powell ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.941588,-77.031373,81,212,29,212,36,,1100125,001-300
mixed - most recent,1.10003E+11,Randle Highlands ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.870207,-76.964391,100,116,17,116,27,,1100029,001-316
mixed - most recent,1.10003E+11,Raymond Education Campus,DC,District of Columbia Public Schools,Primary,Regular school,No,38.935711,-77.026101,72,246,31,248,31,,1100033,001-302
mixed - most recent,1.10008E+11,Richard Wright PCS for Journalism and Media Arts,DC,Richard Wright PCS for Journalism and Media Arts,High,Regular school,Yes,38.88423,-77.018811,25,69,22,68,7.5,82,1100441,167-3067
mixed - most recent,1.10003E+11,River Terrace Education Campus,DC,District of Columbia Public Schools,Other,Special education school,No,38.895331,-76.958009,64,31,34.5,31,34.5,,1100506,001-304
mixed - most recent,1.10011E+11,Rocketship PCS - Infinity Community Prep,DC,Rocketship Education DC PCS,Primary,Regular school,Yes,38.954964,-77.002733,,,,,,,1100534,191-1150
mixed - most recent,1.10011E+11,Rocketship PCS - Legacy Prep,DC,Rocketship Education DC PCS,Primary,Regular school,Yes,38.87001,-76.940431,,45,34.5,44,34.5,,1100514,191-1016
mixed - most recent,1.10011E+11,Rocketship PCS - Rise Academy,DC,Rocketship Education DC PCS,Primary,Regular school,Yes,38.855572,-76.974285,,148,32,148,22,,1100509,191-286
mixed - most recent,1.10003E+11,Ron Brown College Preparatory HS,DC,District of Columbia Public Schools,High,Regular school,No,38.90655,-76.932456,,74,17,78,2.5,Suppressed data,1100512,001-436
mixed - most recent,1.10003E+11,Roosevelt HS,DC,District of Columbia Public Schools,High,Regular school,No,38.942971,-77.029177,411,136,7.5,139,2.5,62,1100008,001-459
mixed - most recent,1.10003E+11,Roosevelt STAY HS,DC,District of Columbia Public Schools,High,Other/alternative school,No,38.942971,-77.029177,890,19,10,24,10,7,1100264,001-456
mixed - most recent,1.10002E+11,Roots PCS,DC,Roots PCS,Primary,Regular school,Yes,38.956804,-77.010282,7,21,10,21,30,,1100234,140-173
mixed - most recent,1.10003E+11,Ross ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.912375,-77.039673,13,67,92,67,77,,1100027,001-305
mixed - most recent,1.10003E+11,Savoy ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.8628,-76.993812,153,119,12,119,7.5,,1100025,001-307
mixed - most recent,1.10003E+11,School Without Walls at Francis-Stevens,DC,District of Columbia Public Schools,Primary,Regular school,No,38.907591,-77.052335,133,269,43,269,42,,1100149,001-409
mixed - most recent,1.10003E+11,School Without Walls HS,DC,District of Columbia Public Schools,High,Regular school,No,38.898083,-77.047917,188,137,92,132,82,97,1100131,001-466
mixed - most recent,1.10003E+11,School-Within-School at Goding,DC,District of Columbia Public Schools,Primary,Regular school,No,38.901818,-76.971932,22,101,77,101,72,,1100466,001-175
mixed - most recent,1.10003E+11,Seaton ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.910472,-77.024886,36,128,32,128,42,,1100024,001-309
mixed - most recent,1.10009E+11,Sela PCS,DC,Sela PCS,Primary,Regular school,Yes,38.963862,-77.007391,18,47,44.5,47,54.5,,1100461,174-197
mixed - most recent,1.10003E+11,Shepherd ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.984623,-77.034048,34,158,57,158,57,,1100030,001-313
mixed - most recent,1.10008E+11,Shining Stars Montessori Academy PCS,DC,Shining Stars Montessori Academy PCS,Primary,Regular school,Yes,38.938528,-76.988703,18,41,24.5,41,5,,1100442,166-3066
mixed - most recent,1.10003E+11,Simon ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.835932,-76.999994,85,96,2.5,96,7.5,,1100054,001-315
